,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
3,Jimmie Rivera,Petr Yan,Blue,Bantamweight,3,29.0,162.56,172.72,26.0,170.18,170.18
4,Tai Tuivasa,Blagoy Ivanov,Blue,Heavyweight,3,26.0,187.96,190.5,32.0,180.34,185.42
7,Karolina Kowalkiewicz,Alexa Grasso,Blue,Women's Strawweight,3,33.0,160.02,162.56,25.0,165.1,167.64
8,Ricardo Lamas,Calvin Kattar,Blue,Featherweight,3,37.0,172.72,180.34,31.0,180.34,182.88
10,Bevon Lewis,Darren Stewart,Blue,Middleweight,3,28.0,190.5,200.66,28.0,182.88,187.96
13,Alexander Gustafsson,Anthony Smith,Blue,Light Heavyweight,5,32.0,195.58,200.66,30.0,193.04,193.04
14,Jimi Manuwa,Aleksandar Rakic,Blue,Light Heavyweight,3,39.0,185.42,200.66,27.0,193.04,198.12
16,Damir Hadzovic,Christos Giagos,Blue,Lightweight,3,32.0,175.26,177.8,29.0,177.8,180.34
18,Rostem Akman,Sergey Khandozhko,Blue,Welterweight,3,27.0,177.8,182.88,27.0,185.42,187.96
19,Tonya Evinger,Lina Lansberg,Blue,Women's Bantamweight,3,37.0,170.18,177.8,37.0,170.18,165.1
20,Stevie Ray,Leonardo Santos,Blue,Lightweight,3,29.0,177.8,177.8,39.0,182.88,190.5
21,Nick Hein,Frank Camacho,Blue,Lightweight,3,35.0,167.64,167.64,30.0,177.8,185.42
23,Darko Stosic,Devin Clark,Blue,Light Heavyweight,3,27.0,182.88,193.04,29.0,182.88,190.5
26,Antonio Carlos Junior,Ian Heinisch,Blue,Middleweight,3,29.0,187.96,200.66,30.0,180.34,182.88
27,Megan Anderson,Felicia Spencer,Blue,Women's Featherweight,3,29.0,182.88,182.88,28.0,167.64,172.72
33,Danny Roberts,Michel Pereira,Blue,Welterweight,3,31.0,185.42,187.96,25.0,185.42,185.42
34,Michael Trizano,Grant Dawson,Blue,Featherweight,3,27.0,180.34,180.34,25.0,177.8,182.88
35,Patrick Cummins,Ed Herman,Blue,Light Heavyweight,3,38.0,187.96,193.04,38.0,185.42,195.58
38,Rose Namajunas,Jessica Andrade,Blue,Women's Strawweight,5,26.0,165.1,165.1,27.0,154.94,157.48
40,Jose Aldo,Alexander Volkanovski,Blue,Featherweight,3,32.0,170.18,177.8,30.0,167.64,180.34
41,Thiago Alves,Laureano Staropoli,Blue,Welterweight,3,35.0,175.26,177.8,26.0,185.42,180.34
43,Rogerio Nogueira,Ryan Spann,Blue,Light Heavyweight,3,42.0,187.96,190.5,27.0,195.58,200.66
46,BJ Penn,Clay Guida,Blue,Lightweight,3,40.0,175.26,177.8,37.0,170.18,177.8
49,Talita Bernardo,Viviane Araujo,Blue,Women's Bantamweight,3,32.0,162.56,172.72,32.0,162.56,172.72
50,Al Iaquinta,Donald Cerrone,Blue,Lightweight,5,32.0,177.8,177.8,36.0,185.42,185.42
52,Cub Swanson,Shane Burgos,Blue,Featherweight,3,35.0,172.72,177.8,28.0,180.34,190.5
53,Brad Katona,Merab Dvalishvili,Blue,Bantamweight,3,27.0,167.64,162.56,28.0,167.64,172.72
55,Marc-Andre Barriault,Andrew Sanchez,Blue,Middleweight,3,29.0,185.42,187.96,31.0,185.42,187.96
57,Aiemann Zahabi,Vince Morales,Blue,Bantamweight,3,31.0,172.72,172.72,28.0,170.18,177.8
59,Kyle Nelson,Matt Sayles,Blue,Featherweight,3,28.0,180.34,180.34,25.0,170.18,172.72
61,Mitch Gagnon,Cole Smith,Blue,Bantamweight,3,34.0,165.1,165.1,30.0,180.34,170.18
62,Jacare Souza,Jack Hermansson,Blue,Middleweight,5,39.0,185.42,182.88,30.0,185.42,195.58
64,Alex Oliveira,Mike Perry,Blue,Welterweight,3,31.0,180.34,193.04,27.0,177.8,180.34
66,John Lineker,Cory Sandhagen,Blue,Bantamweight,3,28.0,160.02,170.18,27.0,180.34,177.8
68,Ben Saunders,Takashi Sato,Blue,Welterweight,3,36.0,187.96,195.58,28.0,177.8,185.42
69,Andrei Arlovski,Augusto Sakai,Blue,Heavyweight,3,40.0,190.5,195.58,27.0,190.5,195.58
74,Court McGee,Dhiego Lima,Blue,Welterweight,3,34.0,180.34,190.5,30.0,187.96,187.96
83,Marcin Tybura,Shamil Abdurakhimov,Blue,Heavyweight,3,33.0,190.5,198.12,37.0,190.5,193.04
84,Gadzhimurad Antigulov,Michal Oleksiejczuk,Blue,Light Heavyweight,3,32.0,180.34,177.8,24.0,182.88,187.96
86,Max Holloway,Dustin Poirier,Blue,Lightweight,5,27.0,180.34,175.26,30.0,175.26,182.88
87,Kelvin Gastelum,Israel Adesanya,Blue,Middleweight,5,27.0,175.26,180.34,29.0,193.04,203.2
88,Eryk Anders,Khalil Rountree Jr.,Blue,Light Heavyweight,3,31.0,185.42,190.5,29.0,185.42,193.04
89,Alan Jouban,Dwight Grant,Blue,Welterweight,3,37.0,182.88,185.42,34.0,185.42,193.04
90,Ovince Saint Preux,Nikita Krylov,Blue,Light Heavyweight,3,36.0,190.5,203.2,27.0,190.5,195.58
91,Jalin Turner,Matt Frevola,Blue,Lightweight,3,23.0,190.5,195.58,28.0,175.26,180.34
92,Wilson Reis,Alexandre Pantoja,Blue,Flyweight,3,34.0,162.56,165.1,28.0,165.1,170.18
94,Boston Salmon,Khalid Taha,Blue,Bantamweight,3,28.0,175.26,175.26,27.0,165.1,175.26
95,Curtis Millender,Belal Muhammad,Blue,Welterweight,3,31.0,187.96,193.04,30.0,180.34,182.88
97,Lauren Mueller,Poliana Botelho,Blue,Women's Flyweight,3,27.0,165.1,170.18,30.0,172.72,170.18
99,Edson Barboza,Justin Gaethje,Blue,Lightweight,5,33.0,180.34,190.5,30.0,180.34,177.8
100,David Branch,Jack Hermansson,Blue,Middleweight,3,37.0,185.42,198.12,30.0,185.42,195.58
102,Karolina Kowalkiewicz,Michelle Waterson,Blue,Women's Strawweight,3,33.0,160.02,162.56,33.0,160.02,157.48
103,Kennedy Nzechukwu,Paul Craig,Blue,Light Heavyweight,3,30.0,177.8,182.88,31.0,190.5,193.04
106,Ross Pearson,Desmond Green,Blue,Lightweight,3,34.0,172.72,175.26,29.0,177.8,185.42
107,Enrique Barzola,Kevin Aguilar,Blue,Featherweight,3,29.0,170.18,177.8,30.0,170.18,185.42
109,Ray Borg,Casey Kenney,Blue,Bantamweight,3,25.0,162.56,160.02,28.0,170.18,172.72
110,Sabina Mazo,Maryna Moroz,Blue,Women's Flyweight,3,22.0,170.18,177.8,27.0,170.18,170.18
112,Stephen Thompson,Anthony Pettis,Blue,Welterweight,5,36.0,182.88,190.5,32.0,177.8,182.88
120,Alexis Davis,Jennifer Maia,Blue,Women's Flyweight,3,34.0,167.64,172.72,30.0,162.56,162.56
122,Ryan MacDonald,Chris Gutierrez,Blue,Bantamweight,3,26.0,180.34,180.34,27.0,175.26,175.26
123,Eric Shelton,Jordan Espinosa,Blue,Flyweight,3,28.0,167.64,172.72,29.0,167.64,180.34
124,Darren Till,Jorge Masvidal,Blue,Welterweight,5,26.0,182.88,187.96,34.0,180.34,187.96
126,Volkan Oezdemir,Dominick Reyes,Blue,Light Heavyweight,3,29.0,187.96,190.5,29.0,193.04,195.58
128,Danny Roberts,Claudio Silva,Blue,Welterweight,3,31.0,185.42,187.96,36.0,180.34,180.34
132,Nicolae Negumereanu,Saparbeg Safarov,Blue,Light Heavyweight,3,24.0,182.88,198.12,32.0,185.42,198.12
133,Danny Henry,Dan Ige,Blue,Featherweight,3,30.0,182.88,185.42,27.0,170.18,180.34
136,Derrick Lewis,Junior Dos Santos,Blue,Heavyweight,5,34.0,190.5,200.66,35.0,193.04,195.58
