,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_Stance,R_age,R_Height_cms,R_Reach_cms,B_Stance,B_age,B_Height_cms,B_Reach_cms
0,Henry Cejudo,Marlon Moraes,Red,Bantamweight,5,Orthodox,32.0,162.56,162.56,Orthodox,31.0,167.64,170.18
1,Valentina Shevchenko,Jessica Eye,Red,Women's Flyweight,5,Southpaw,31.0,165.1,167.64,Orthodox,32.0,167.64,167.64
2,Tony Ferguson,Donald Cerrone,Red,Lightweight,3,Orthodox,35.0,180.34,193.04,Orthodox,36.0,185.42,185.42
3,Jimmie Rivera,Petr Yan,Blue,Bantamweight,3,Orthodox,29.0,162.56,172.72,Switch,26.0,170.18,170.18
4,Tai Tuivasa,Blagoy Ivanov,Blue,Heavyweight,3,Southpaw,26.0,187.96,190.5,Southpaw,32.0,180.34,185.42
5,Tatiana Suarez,Nina Ansaroff,Red,Women's Strawweight,3,,28.0,165.1,167.64,Orthodox,33.0,165.1,162.56
6,Aljamain Sterling,Pedro Munhoz,Red,Bantamweight,3,Orthodox,29.0,170.18,180.34,Orthodox,32.0,167.64,165.1
7,Karolina Kowalkiewicz,Alexa Grasso,Blue,Women's Strawweight,3,Orthodox,33.0,160.02,162.56,Orthodox,25.0,165.1,167.64
8,Ricardo Lamas,Calvin Kattar,Blue,Featherweight,3,Orthodox,37.0,172.72,180.34,Orthodox,31.0,180.34,182.88
9,Yan Xiaonan,Angela Hill,Red,Women's Strawweight,3,Orthodox,29.0,165.1,160.02,Orthodox,34.0,160.02,162.56
10,Bevon Lewis,Darren Stewart,Blue,Middleweight,3,Orthodox,28.0,190.5,200.66,Orthodox,28.0,182.88,187.96
11,Eddie Wineland,Grigorii Popov,Red,Bantamweight,3,Orthodox,34.0,170.18,175.26,Switch,35.0,170.18,172.72
12,Katlyn Chookagian,Joanne Calderwood,Red,Women's Flyweight,3,Orthodox,30.0,175.26,172.72,Orthodox,33.0,167.64,165.1
13,Alexander Gustafsson,Anthony Smith,Blue,Light Heavyweight,5,Orthodox,32.0,195.58,200.66,Orthodox,30.0,193.04,193.04
14,Jimi Manuwa,Aleksandar Rakic,Blue,Light Heavyweight,3,Orthodox,39.0,185.42,200.66,Orthodox,27.0,193.04,198.12
15,Makwan Amirkhani,Chris Fishgold,Red,Featherweight,3,Southpaw,30.0,177.8,182.88,Orthodox,26.0,172.72,172.72
16,Damir Hadzovic,Christos Giagos,Blue,Lightweight,3,Orthodox,32.0,175.26,177.8,Orthodox,29.0,177.8,180.34
17,Daniel Teymur,Sung Bin Jo,Red,Featherweight,3,Orthodox,31.0,165.1,175.26,Orthodox,26.0,182.88,182.88
18,Rostem Akman,Sergey Khandozhko,Blue,Welterweight,3,Switch,27.0,177.8,182.88,Orthodox,27.0,185.42,187.96
19,Tonya Evinger,Lina Lansberg,Blue,Women's Bantamweight,3,Orthodox,37.0,170.18,177.8,Orthodox,37.0,170.18,165.1
20,Stevie Ray,Leonardo Santos,Blue,Lightweight,3,Southpaw,29.0,177.8,177.8,Orthodox,39.0,182.88,190.5
21,Nick Hein,Frank Camacho,Blue,Lightweight,3,Southpaw,35.0,167.64,167.64,Orthodox,30.0,177.8,185.42
22,Bea Malecki,Duda Santana,Red,Women's Bantamweight,3,Orthodox,27.0,175.26,187.96,Orthodox,23.0,170.18,185.42
23,Darko Stosic,Devin Clark,Blue,Light Heavyweight,3,Orthodox,27.0,182.88,193.04,Orthodox,29.0,182.88,190.5
