,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
0,Henry Cejudo,Marlon Moraes,Red,Bantamweight,5,32.0,162.56,162.56,31.0,167.64,170.18
1,Valentina Shevchenko,Jessica Eye,Red,Women's Flyweight,5,31.0,165.1,167.64,32.0,167.64,167.64
2,Tony Ferguson,Donald Cerrone,Red,Lightweight,3,35.0,180.34,193.04,36.0,185.42,185.42
3,Jimmie Rivera,Petr Yan,Blue,Bantamweight,3,29.0,162.56,172.72,26.0,170.18,170.18
4,Tai Tuivasa,Blagoy Ivanov,Blue,Heavyweight,3,26.0,187.96,190.5,32.0,180.34,185.42
5,Tatiana Suarez,Nina Ansaroff,Red,Women's Strawweight,3,28.0,165.1,167.64,33.0,165.1,162.56
6,Aljamain Sterling,Pedro Munhoz,Red,Bantamweight,3,29.0,170.18,180.34,32.0,167.64,165.1
7,Karolina Kowalkiewicz,Alexa Grasso,Blue,Women's Strawweight,3,33.0,160.02,162.56,25.0,165.1,167.64
8,Ricardo Lamas,Calvin Kattar,Blue,Featherweight,3,37.0,172.72,180.34,31.0,180.34,182.88
9,Yan Xiaonan,Angela Hill,Red,Women's Strawweight,3,29.0,165.1,160.02,34.0,160.02,162.56
10,Bevon Lewis,Darren Stewart,Blue,Middleweight,3,28.0,190.5,200.66,28.0,182.88,187.96
11,Eddie Wineland,Grigorii Popov,Red,Bantamweight,3,34.0,170.18,175.26,35.0,170.18,172.72
12,Katlyn Chookagian,Joanne Calderwood,Red,Women's Flyweight,3,30.0,175.26,172.72,33.0,167.64,165.1
13,Alexander Gustafsson,Anthony Smith,Blue,Light Heavyweight,5,32.0,195.58,200.66,30.0,193.04,193.04
14,Jimi Manuwa,Aleksandar Rakic,Blue,Light Heavyweight,3,39.0,185.42,200.66,27.0,193.04,198.12
15,Makwan Amirkhani,Chris Fishgold,Red,Featherweight,3,30.0,177.8,182.88,26.0,172.72,172.72
16,Damir Hadzovic,Christos Giagos,Blue,Lightweight,3,32.0,175.26,177.8,29.0,177.8,180.34
17,Daniel Teymur,Sung Bin Jo,Red,Featherweight,3,31.0,165.1,175.26,26.0,182.88,182.88
18,Rostem Akman,Sergey Khandozhko,Blue,Welterweight,3,27.0,177.8,182.88,27.0,185.42,187.96
19,Tonya Evinger,Lina Lansberg,Blue,Women's Bantamweight,3,37.0,170.18,177.8,37.0,170.18,165.1
20,Stevie Ray,Leonardo Santos,Blue,Lightweight,3,29.0,177.8,177.8,39.0,182.88,190.5
21,Nick Hein,Frank Camacho,Blue,Lightweight,3,35.0,167.64,167.64,30.0,177.8,185.42
22,Bea Malecki,Duda Santana,Red,Women's Bantamweight,3,27.0,175.26,187.96,23.0,170.18,185.42
23,Darko Stosic,Devin Clark,Blue,Light Heavyweight,3,27.0,182.88,193.04,29.0,182.88,190.5
24,Joel Alvarez,Danilo Belluardo,Red,Lightweight,3,25.0,190.5,195.58,24.0,182.88,187.96
25,Rafael Dos Anjos,Kevin Lee,Red,Welterweight,5,34.0,172.72,177.8,26.0,175.26,195.58
26,Antonio Carlos Junior,Ian Heinisch,Blue,Middleweight,3,29.0,187.96,200.66,30.0,180.34,182.88
27,Megan Anderson,Felicia Spencer,Blue,Women's Featherweight,3,29.0,182.88,182.88,28.0,167.64,172.72
28,Vicente Luque,Derrick Krantz,Red,Welterweight,3,27.0,180.34,190.5,31.0,177.8,182.88
29,Charles Oliveira,Nik Lentz,Red,Lightweight,3,29.0,177.8,187.96,34.0,172.72,172.72
30,Davi Ramos,Austin Hubbard,Red,Lightweight,3,32.0,167.64,177.8,27.0,177.8,180.34
31,Aspen Ladd,Sijara Eubanks,Red,Women's Bantamweight,3,24.0,167.64,167.64,34.0,162.56,170.18
32,Desmond Green,Charles Jourdain,Red,Lightweight,3,29.0,177.8,185.42,23.0,175.26,175.26
33,Danny Roberts,Michel Pereira,Blue,Welterweight,3,31.0,185.42,187.96,25.0,185.42,185.42
34,Michael Trizano,Grant Dawson,Blue,Featherweight,3,27.0,180.34,180.34,25.0,177.8,182.88
35,Patrick Cummins,Ed Herman,Blue,Light Heavyweight,3,38.0,187.96,193.04,38.0,185.42,195.58
36,Zak Cummings,Trevin Giles,Red,Middleweight,3,34.0,182.88,190.5,26.0,182.88,187.96
37,Julio Arce,Julian Erosa,Red,Featherweight,3,29.0,170.18,177.8,29.0,185.42,187.96
38,Rose Namajunas,Jessica Andrade,Blue,Women's Strawweight,5,26.0,165.1,165.1,27.0,154.94,157.48
39,Jared Cannonier,Anderson Silva,Red,Middleweight,3,35.0,180.34,195.58,44.0,187.96,195.58
40,Jose Aldo,Alexander Volkanovski,Blue,Featherweight,3,32.0,170.18,177.8,30.0,167.64,180.34
41,Thiago Alves,Laureano Staropoli,Blue,Welterweight,3,35.0,175.26,177.8,26.0,185.42,180.34
42,Irene Aldana,Bethe Correia,Red,Women's Bantamweight,3,31.0,175.26,172.72,35.0,165.1,162.56
43,Rogerio Nogueira,Ryan Spann,Blue,Light Heavyweight,3,42.0,187.96,190.5,27.0,195.58,200.66
44,Thiago Moises,Kurt Holobaugh,Red,Lightweight,3,24.0,175.26,177.8,32.0,180.34,177.8
45,Warlley Alves,Sergio Moraes,Red,Welterweight,3,28.0,180.34,182.88,36.0,182.88,182.88
46,BJ Penn,Clay Guida,Blue,Lightweight,3,40.0,175.26,177.8,37.0,170.18,177.8
47,Luana Carolina,Priscila Cachoeira,Red,Women's Flyweight,3,25.0,167.64,175.26,30.0,170.18,165.1
48,Raoni Barcelos,Carlos Huachin,Red,Bantamweight,3,32.0,170.18,170.18,22.0,162.56,170.18
49,Talita Bernardo,Viviane Araujo,Blue,Women's Bantamweight,3,32.0,162.56,172.72,32.0,162.56,172.72
50,Al Iaquinta,Donald Cerrone,Blue,Lightweight,5,32.0,177.8,177.8,36.0,185.42,185.42
51,Derek Brunson,Elias Theodorou,Red,Middleweight,3,35.0,185.42,195.58,30.0,185.42,190.5
