,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
0,Henry Cejudo,Marlon Moraes,Red,Bantamweight,5,32.0,162.56,162.56,31.0,167.64,170.18
1,Valentina Shevchenko,Jessica Eye,Red,Women's Flyweight,5,31.0,165.1,167.64,32.0,167.64,167.64
2,Tony Ferguson,Donald Cerrone,Red,Lightweight,3,35.0,180.34,193.04,36.0,185.42,185.42
5,Tatiana Suarez,Nina Ansaroff,Red,Women's Strawweight,3,28.0,165.1,167.64,33.0,165.1,162.56
6,Aljamain Sterling,Pedro Munhoz,Red,Bantamweight,3,29.0,170.18,180.34,32.0,167.64,165.1
9,Yan Xiaonan,Angela Hill,Red,Women's Strawweight,3,29.0,165.1,160.02,34.0,160.02,162.56
11,Eddie Wineland,Grigorii Popov,Red,Bantamweight,3,34.0,170.18,175.26,35.0,170.18,172.72
12,Katlyn Chookagian,Joanne Calderwood,Red,Women's Flyweight,3,30.0,175.26,172.72,33.0,167.64,165.1
15,Makwan Amirkhani,Chris Fishgold,Red,Featherweight,3,30.0,177.8,182.88,26.0,172.72,172.72
17,Daniel Teymur,Sung Bin Jo,Red,Featherweight,3,31.0,165.1,175.26,26.0,182.88,182.88
22,Bea Malecki,Duda Santana,Red,Women's Bantamweight,3,27.0,175.26,187.96,23.0,170.18,185.42
24,Joel Alvarez,Danilo Belluardo,Red,Lightweight,3,25.0,190.5,195.58,24.0,182.88,187.96
25,Rafael Dos Anjos,Kevin Lee,Red,Welterweight,5,34.0,172.72,177.8,26.0,175.26,195.58
28,Vicente Luque,Derrick Krantz,Red,Welterweight,3,27.0,180.34,190.5,31.0,177.8,182.88
29,Charles Oliveira,Nik Lentz,Red,Lightweight,3,29.0,177.8,187.96,34.0,172.72,172.72
30,Davi Ramos,Austin Hubbard,Red,Lightweight,3,32.0,167.64,177.8,27.0,177.8,180.34
31,Aspen Ladd,Sijara Eubanks,Red,Women's Bantamweight,3,24.0,167.64,167.64,34.0,162.56,170.18
32,Desmond Green,Charles Jourdain,Red,Lightweight,3,29.0,177.8,185.42,23.0,175.26,175.26
36,Zak Cummings,Trevin Giles,Red,Middleweight,3,34.0,182.88,190.5,26.0,182.88,187.96
37,Julio Arce,Julian Erosa,Red,Featherweight,3,29.0,170.18,177.8,29.0,185.42,187.96
39,Jared Cannonier,Anderson Silva,Red,Middleweight,3,35.0,180.34,195.58,44.0,187.96,195.58
42,Irene Aldana,Bethe Correia,Red,Women's Bantamweight,3,31.0,175.26,172.72,35.0,165.1,162.56
44,Thiago Moises,Kurt Holobaugh,Red,Lightweight,3,24.0,175.26,177.8,32.0,180.34,177.8
45,Warlley Alves,Sergio Moraes,Red,Welterweight,3,28.0,180.34,182.88,36.0,182.88,182.88
47,Luana Carolina,Priscila Cachoeira,Red,Women's Flyweight,3,25.0,167.64,175.26,30.0,170.18,165.1
48,Raoni Barcelos,Carlos Huachin,Red,Bantamweight,3,32.0,170.18,170.18,22.0,162.56,170.18
51,Derek Brunson,Elias Theodorou,Red,Middleweight,3,35.0,185.42,195.58,30.0,185.42,190.5
54,Walt Harris,Serghei Spivac,Red,Heavyweight,3,35.0,195.58,195.58,24.0,190.5,198.12
56,Macy Chiasson,Sarah Moras,Red,Women's Bantamweight,3,27.0,180.34,182.88,31.0,170.18,170.18
58,Nordine Taleb,Kyle Prepolec,Red,Welterweight,3,37.0,185.42,187.96,29.0,177.8,177.8
60,Arjan Bhullar,Juan Adams,Red,Heavyweight,3,32.0,185.42,190.5,27.0,195.58,203.2
63,Greg Hardy,Dmitrii Smoliakov,Red,Heavyweight,3,30.0,195.58,203.2,36.0,187.96,187.96
65,Glover Teixeira,Ion Cutelaba,Red,Light Heavyweight,3,39.0,187.96,193.04,25.0,185.42,190.5
67,Roosevelt Roberts,Thomas Gifford,Red,Lightweight,3,25.0,187.96,185.42,26.0,185.42,190.5
70,Carla Esparza,Virna Jandiroba,Red,Women's Strawweight,3,31.0,154.94,160.02,30.0,160.02,162.56
71,Gilbert Burns,Mike Davis,Red,Lightweight,3,32.0,177.8,180.34,26.0,182.88,182.88
72,Jim Miller,Jason Gonzalez,Red,Lightweight,3,35.0,172.72,180.34,29.0,187.96,187.96
73,Angela Hill,Jodie Esquibel,Red,Women's Strawweight,3,34.0,160.02,162.56,32.0,154.94,162.56
75,Alistair Overeem,Aleksei Oleinik,Red,Heavyweight,5,38.0,193.04,203.2,41.0,187.96,203.2
76,Islam Makhachev,Arman Tsarukyan,Red,Lightweight,3,27.0,177.8,177.8,22.0,170.18,182.88
77,Sergei Pavlovich,Marcelo Golm,Red,Heavyweight,3,26.0,190.5,213.36,26.0,190.5,190.5
78,Roxanne Modafferi,Antonina Shevchenko,Red,Women's Flyweight,3,36.0,170.18,175.26,34.0,172.72,170.18
79,Krzysztof Jotko,Alen Amedovski,Red,Middleweight,3,29.0,185.42,195.58,31.0,177.8,187.96
80,Movsar Evloev,Seungwoo Choi,Red,Featherweight,3,25.0,170.18,182.88,26.0,182.88,187.96
81,Sultan Aliev,Keita Nakamura,Red,Welterweight,3,34.0,180.34,187.96,34.0,180.34,185.42
82,Alexander Yakovlev,Alex Da Silva,Red,Lightweight,3,34.0,190.5,187.96,23.0,172.72,185.42
85,Magomed Mustafaev,Rafael Fiziev,Red,Lightweight,3,30.0,172.72,180.34,26.0,172.72,180.34
93,Max Griffin,Zelim Imadaev,Red,Welterweight,3,33.0,180.34,193.04,24.0,182.88,193.04
96,Montel Jackson,Andre Soukhamthath,Red,Bantamweight,3,26.0,177.8,190.5,30.0,175.26,177.8
98,Brandon Davis,Randy Costa,Red,Bantamweight,3,28.0,177.8,182.88,24.0,175.26,185.42
101,Josh Emmett,Michael Johnson,Red,Featherweight,3,34.0,167.64,177.8,32.0,177.8,185.42
104,Sodiq Yusuff,Sheymon Moraes,Red,Featherweight,3,25.0,175.26,180.34,28.0,172.72,182.88
